Year,Country,Gross Domestic Product (GDP),GDP Growth Rate (%),Price Inflation Rate (%)
1967,Sri Lanka,1859465021.0,6.43902442,2.189239332
1967,Syrian Arab Republic,1443717801.0,8.257682647,6.454121306
1967,Tajikistan,4407068380.0,2.500033543,11.18745334
1967,Thailand,5638461442.0,8.615982333,4.309656824
1967,Timor-Leste,1236354422.0,4.942936305,4.843521556
1967,Turkiye,15644444444.0,4.732510244,13.97489295
1967,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1967,Uzbekistan,36471688434.0,4.420479188,12.17375952
1967,Viet Nam,115503000000.0,6.382217698,5.772232768
1967,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1968,Afghanistan,1373333367.0,4.74796003,6.124619936
1968,Armenia,6898248878.0,3.515202551,126.8455368
1968,Azerbaijan,29420997153.0,4.000604339,108.1802041
1968,Bahrain,16101033255.0,3.808078596,3.25732899
1968,Bangladesh,7483685771.0,9.489454015,6.27939513
1968,Bhutan,925869512.9,6.832227605,7.284395103
1968,Brunei Darussalam,160818235.9,1.555753639,1.460945065
1968,Cambodia,1065714249.0,5.600001174,4.398758198
1968,China,70846276051.0,-4.099999987,4.773168146
1968,Cyprus,12913632679.0,4.88657026,3.766666666
1968,Georgia,9834973348.0,4.456334813,12.66676181
1968,India,53085455871.0,3.387929176,3.237412426
1968,Indonesia,7076465300.0,10.91517857,128.8430421
1968,"Iran, Islamic Rep.",8623172960.0,14.40418268,0.690360522
1968,Iraq,2896598841.0,7.121138889,2.196475983
1968,Israel,4619000000.0,16.24195681,2.079221858
1968,Japan,146601000000.0,12.88246814,5.339432957
1968,Jordan,561119775.6,4.65248636,5.772380507
1968,Kazakhstan,100142000000.0,2.88125,82.35942488
1968,"Korea, Rep.",6119394892.0,13.16576829,10.7718214
1968,Kuwait,2662798935.0,4.153980922,3.995213715
1968,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1968,Lao PDR,6219585043.0,6.075047488,16.89769908
1968,Lebanon,25698059776.0,3.80501052,31.6503076
1968,Malaysia,3330371551.0,7.977994642,-0.158346529
1968,Maldives,1714876941.0,5.991783374,4.888363683
1968,Mongolia,5442036507.0,4.519967418,21.93483208
1968,Myanmar,559956141.5,12.05934018,2.376033058
1968,Nepal,772231413.9,0.675483463,1.179869974
1968,Oman,188879848.9,81.88779671,2.111150506
1968,Pakistan,8041999160.0,7.233220925,0.170627348
1968,Philippines,8632749269.0,5.038159397,2.358806459
1968,Qatar,55943064814.0,7.927137935,3.272968941
1968,Saudi Arabia,4187777711.0,4.996335607,1.588785047
1968,Singapore,1425706091.0,13.52699422,0.655391121
1968,Sri Lanka,1801344538.0,5.801094166,5.860566449
1968,Syrian Arab Republic,1562303429.0,3.729080221,2.848794741
1968,Tajikistan,4407068380.0,2.500033543,11.18745334
1968,Thailand,6081009428.0,8.122270256,1.790359602
1968,Timor-Leste,1236354422.0,4.942936305,4.843521556
1968,Turkiye,17500000000.0,6.77799601,6.046239662
1968,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1968,Uzbekistan,36471688434.0,4.420479188,12.17375952
1968,Viet Nam,115503000000.0,6.382217698,5.772232768
1968,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1969,Afghanistan,1408888922.0,4.74796003,6.124619936
1969,Armenia,6898248878.0,3.515202551,126.8455368
1969,Azerbaijan,29420997153.0,4.000604339,108.1802041
1969,Bahrain,16101033255.0,3.808078596,-0.194127639
1969,Bangladesh,8471006438.0,1.220857909,6.27939513
1969,Bhutan,925869512.9,6.832227605,7.284395103
1969,Brunei Darussalam,161210236.4,1.555753639,1.460945065
1969,Cambodia,978873232.4,5.600001174,4.398758198
1969,China,79705614855.0,16.94,4.773168146
1969,Cyprus,12913632679.0,4.88657026,2.38515901
1969,Georgia,9834973348.0,4.778149723,12.66676181
1969,India,58447995017.0,6.539700299,-0.58413661
1969,Indonesia,8337423313.0,6.822298249,15.47987022
1969,"Iran, Islamic Rep.",9743089607.0,15.51665891,3.593194516
1969,Iraq,3007758797.0,3.24418646,5.739253661
1969,Israel,5329333333.0,13.56570351,2.458054256
1969,Japan,172204000000.0,12.47789451,5.249820911
1969,Jordan,698879720.4,4.65248636,5.772380507
1969,Kazakhstan,100142000000.0,2.88125,82.35942488
1969,"Korea, Rep.",7678698838.0,14.5613667,12.38956471
1969,Kuwait,2769198892.0,4.153980922,3.995213715
1969,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1969,Lao PDR,6219585043.0,6.075047488,16.89769908
1969,Lebanon,25698059776.0,3.80501052,31.6503076
1969,Malaysia,3664552041.0,4.888533653,-0.409015025
1969,Maldives,1714876941.0,5.991783374,4.888363683
1969,Mongolia,5442036507.0,4.519967418,21.93483208
1969,Myanmar,571854203.6,3.291741121,-4.339051463
1969,Nepal,788641964.6,4.463421603,4.057591623
1969,Oman,239999808.0,25.66616882,2.111150506
1969,Pakistan,8683116338.0,5.507899634,3.186986796
1969,Philippines,9571800653.0,4.689473441,1.955510323
1969,Qatar,55943064814.0,7.927137935,3.272968941
1969,Saudi Arabia,4485777644.0,6.037886549,3.495860166
1969,Singapore,1659893768.0,13.83382512,-0.27305188
1969,Sri Lanka,1965546218.0,7.716819662,7.456952734
1969,Syrian Arab Republic,1796596911.0,18.76791521,-1.988636364
1969,Tajikistan,4407068380.0,2.500033543,11.18745334
1969,Thailand,6695336567.0,6.550659886,2.45039086
1969,Timor-Leste,1236354422.0,4.942936305,4.843521556
1969,Turkiye,19466666667.0,4.081145621,4.924193945
1969,United Arab Emirates,168800000000.0,4.638126216,2.080245139
1969,Uzbekistan,36471688434.0,4.420479188,12.17375952
1969,Viet Nam,115503000000.0,6.382217698,5.772232768
1969,"Yemen, Rep.",20874604448.0,1.861577367,17.49567681
1970,Afghanistan,1748886596.0,4.74796003,6.124619936
1970,Armenia,6898248878.0,3.515202551,126.8455368
1970,Azerbaijan,29420997153.0,4.000604339,108.1802041
1970,Bahrain,16101033255.0,3.808078596,1.628981278
1970,Bangladesh,8992722167.0,5.619852293,6.27939513
1970,Bhutan,925869512.9,6.832227605,7.284395103
1970,Brunei Darussalam,179078929.3,1.555753639,1.460945065
1970,Cambodia,718401157.7,5.600001174,4.398758198
1970,China,92602634892.0,19.3,4.773168146
1970,Cyprus,12913632679.0,4.88657026,2.40018825
1970,Georgia,9834973348.0,12.05211625,12.66676181
1970,India,62422483055.0,5.157229737,5.09226162
1970,Indonesia,9150684932.0,7.554634515,12.39946465
1970,"Iran, Islamic Rep.",10976245154.0,10.92760163,1.66687094
1970,Iraq,3281318687.0,4.544357067,4.355595265
1970,Israel,178264000000.0,5.254969835,6.110742036
1970,Japan,217224000000.0,2.454958384,6.924173835
1970,Jordan,639519744.2,4.65248636,5.899999999
1970,Kazakhstan,100142000000.0,2.88125,82.35942488
1970,"Korea, Rep.",9005144969.0,10.05273481,15.95034236
1970,Kuwait,2873638851.0,4.153980922,3.995213715
1970,Kyrgyz Republic,4463041023.0,2.192187936,10.20763482
1970,Lao PDR,6219585043.0,6.075047488,16.89769908
1970,Lebanon,25698059776.0,3.80501052,31.6503076
1970,Malaysia,3864145667.0,5.98653863,1.843935966
1970,Maldives,1714876941.0,5.991783374,4.888363683
1970,Mongolia,5442036507.0,4.519967418,21.93483208
1970,Myanmar,563555620.5,4.979330597,-4.008438818
1970,Nepal,865975307.8,2.575992127,15.23727845
1970,Oman,256319794.9,13.89509644,2.111150506
1970,Pakistan,10027509450.0,11.35346172,5.34984091
1970,Philippines,7559115517.0,3.692487487,14.38146168
1970,Qatar,301791301.8,7.927137935,3.272968941
